"","count","RR2","expected","RR1","DistanceToRadar","Composite","HybridScan","HydrometeorType","Kdp","RadarQualityIndex","RR3","Reflectivity","ReflectivityQC","RhoHV","Velocity","Zdr","LogWaterVolume","MassWeightedMean","MassWeightedSD","Expected"
"1","1",NA,0,0,30,NA,NA,8,0,0.05699441375,NA,11.125,NA,0.817917125,-99901,5.5078125,NA,NA,NA,0
"113","2",NA,0,0,77,NA,NA,8,0,999,NA,7.41666666666667,NA,0.757777833333333,-1.75,3.91666666666667,NA,NA,NA,0
"224","3",NA,0,0,75,NA,NA,8,0,999,NA,5.25,NA,0.945,NA,-5.59375,NA,NA,NA,0
"335","4",NA,0,0,21,NA,NA,8,0,0,NA,12.75,NA,0.663888666666667,-10,1.70833333333333,NA,NA,NA,0
"446","5",0.484927,0,0.117660909090909,49.969696969697,19.7878787878788,NA,8.75757575757576,0,242.664291757576,NA,18.6515151515152,NA,-24218.1500502121,NA,-24218.9337121212,NA,NA,NA,0
"557","6",NA,0,0,1,NA,NA,8,0,999,NA,5,NA,0.5150005,8.33333333333333,1.14583333333333,NA,NA,NA,0
"668","7",NA,0,NA,42,NA,NA,8,0,0.0811721071428571,NA,10.4642857142857,NA,0.665476214285714,1.96428571428571,2.66964285714286,NA,NA,NA,0
"779","8",6.0851,5.6,2.12517538461538,12.1538461538462,NA,NA,9.92307692307692,0,308.027339538462,NA,27.0384615384615,NA,-30738.700128,NA,-30739.2019230769,NA,NA,NA,5.6
"890","9",NA,0,0,92,NA,NA,8,0,999,NA,11.25,NA,0.795,NA,-2.65625,NA,NA,NA,0
"2","10",NA,0,0,50.625,NA,NA,8.125,0,0.47430065,NA,10.125,NA,0.887500375,NA,1.359375,NA,NA,NA,0
"14","11",6.759667,1.5,2.1583552173913,48.8260869565217,NA,NA,10.0434782608696,0,521.695652173913,NA,26.6739130434783,NA,-52122.8419565217,-52126.8913043478,-52123.2798913043,NA,NA,NA,1.5
"25","12",NA,0,0,54,NA,NA,8,0,249.8106430375,NA,0.25,NA,NA,NA,NA,NA,NA,NA,0
"36","13",NA,0,0,61,NA,NA,8,0,0.151751353846154,NA,6.38461538461539,NA,0.900641769230769,NA,2.61538461538462,NA,NA,NA,0
"47","14",NA,0,0,94,NA,NA,7.66666666666667,0,0.0910310333333333,NA,10.3333333333333,NA,0.8338895,-13.4166666666667,3.71875,NA,NA,NA,0
"58","15",NA,0,0,51,NA,NA,8,0,999,NA,5.08333333333333,NA,0.608333166666667,4.08333333333333,-2.60416666666667,NA,NA,NA,0
"69","16",NA,0,0,90,NA,NA,8,0,0.161677416666667,NA,7.08333333333333,NA,0.625555333333333,-1.58333333333333,1.69791666666667,NA,NA,NA,0
"80","17",NA,0,0,82,NA,NA,8,0,249.7816503,NA,0.875,NA,0.795834,NA,3.25,NA,NA,NA,0
"91","18",NA,0,0,4,NA,NA,8,0,0,NA,0.25,NA,0.6083335,6,3.4375,NA,NA,NA,0
"102","19",NA,0,0,38,NA,NA,8,0,0,NA,2.5,NA,0.908333,NA,1.875,NA,NA,NA,0
"114","20",NA,0,0,27,NA,NA,8,0,0.231382928571429,NA,13.4285714285714,NA,0.744999857142857,-0.642857142857143,1.23214285714286,NA,NA,NA,0
"125","21",NA,0,NA,82,NA,NA,7.84615384615385,0,230.585218584615,NA,4.03846153846154,NA,0.813463076923077,NA,2.63942307692308,NA,NA,NA,0
"136","22",NA,0,0,19,NA,NA,8,0,0.0196624,NA,-4.5,NA,1.05167,-6,4.125,NA,NA,NA,0
"147","23",NA,0,0,93,NA,NA,8,0,999,NA,14,NA,-99903,-99903,-99903,NA,NA,NA,0
"158","24",NA,0,0,75,NA,NA,8,0,142.870499257143,NA,-0.928571428571429,NA,0.880239,NA,3.71428571428571,NA,NA,NA,0
"169","25",NA,0,0,75,NA,NA,8,0,0,NA,7.16666666666667,NA,0.808888833333333,-6.58333333333333,2.17708333333333,NA,NA,NA,0
"180","26",NA,0,0,2,NA,NA,8,0,0.109793514285714,NA,2.07142857142857,NA,NA,NA,NA,NA,NA,NA,0
"191","27",0.2647685,0,0.06075375,40,NA,NA,5,0,0.8209175,NA,13.875,NA,1.004585,-49955.9375,0.8125,NA,NA,NA,0
"202","28",1.25996933333333,0.8,0.343628,12,21.2272727272727,NA,3.90909090909091,0,0.679261909090909,NA,22.8181818181818,NA,0.926515090909091,5.77272727272727,1.69318181818182,NA,NA,NA,0.8
"213","29",NA,0,0,59,NA,NA,8,0,0,NA,5,NA,0.7655555,9.25,2.70833333333333,NA,NA,NA,0
"225","30",NA,0,0,73,NA,NA,8,0,999,NA,5,NA,0.401667,NA,4.5,NA,NA,NA,0
"236","31",0.24712625,0,0.0581473529411765,30.7647058823529,9.79411764705882,NA,6.17647058823529,0,59.4855550588235,NA,9.79411764705882,9.79411764705882,1.01990352941176,NA,0.720588235294118,NA,NA,NA,0
"247","32",NA,0,0,54,NA,NA,8,0,699.3474696,NA,14.1,NA,0.6703334,-29975.5,1.21875,NA,NA,NA,0
"258","33",NA,0,0,15,NA,NA,8,0,999,NA,2,NA,1.05167,NA,-0.5,NA,NA,NA,0
"269","34",NA,0,0,90,NA,NA,8,0,0,NA,16,NA,0.783888833333333,-7.41666666666667,5.10416666666667,NA,NA,NA,0
"280","35",NA,0,0,3,NA,NA,8,0,249.860338,NA,1.9375,NA,0.736666625,NA,2.5625,NA,NA,NA,0
"291","36",0.1664485,7.9,0.0554828333333333,9.66666666666667,NA,NA,3.33333333333333,0,0.692369916666667,NA,9.375,NA,1.01555658333333,NA,0.526041666666667,NA,NA,NA,7.9
"302","37",NA,0,0,82.6,NA,NA,8.64,0,999,NA,21.36,NA,-99903,-99903,-99903,NA,NA,NA,0
"313","38",NA,0,0,90,NA,NA,8,0,999,NA,-5.42857142857143,NA,NA,1.71428571428571,NA,NA,NA,NA,0
"324","39",NA,0,0,97,NA,NA,8,0,999,NA,9.41666666666667,NA,0.5655555,11.6666666666667,-1.4375,NA,NA,NA,0
"336","40",3.39372008333333,0.3,1.46897620588235,39.7941176470588,NA,NA,4.88235294117647,0,30.2131705,NA,20.6911764705882,NA,0.974314176470588,NA,0.314338235294118,NA,NA,NA,0.3
"347","41",NA,0,0,0,NA,NA,8,0,0.0306101666666667,NA,-1,NA,0.602778,NA,5.35416666666667,NA,NA,NA,0
"358","42",NA,0.1,0,43,NA,NA,8,0,0.419285,NA,12.5,NA,0.998333,13,-1.125,NA,NA,NA,0.1
