index,value
0,1995.919164
1,1995.919164
2,1995.919164
3,1999.230694
5,1999.230694
10,1999.230694
11,1999.636897
13,1995.919164
15,1999.636897
16,1995.919164
17,1995.919164
18,1993.310191
19,1995.919164
20,1995.919164
22,1995.919164
23,1995.919164
24,1995.919164
25,1995.919164
26,1999.636897
28,1995.919164
29,1995.919164
31,1999.230694
32,1995.919164
33,1995.919164
35,1993.310191
38,1995.919164
39,1999.636897
40,1999.230694
41,1995.919164
42,1995.919164
43,1992.441763
44,1995.919164
46,1995.919164
48,1995.919164
49,1995.919164
50,1995.919164
51,1995.919164
55,1995.919164
56,1995.919164
57,1995.919164
58,1999.636897
60,1995.919164
61,1993.310191
62,1995.919164
63,1995.919164
64,1999.636897
65,1992.441763
66,2005.3875
68,1995.919164
69,1993.310191
70,1999.636897
73,1999.636897
74,1999.636897
76,1995.919164
77,1995.919164
78,1995.919164
80,1995.919164
81,1995.919164
82,1995.919164
84,1995.919164
86,1999.636897
88,1999.230694
90,1995.919164
91,1999.636897
92,1999.230694
93,1995.919164
95,1995.919164
96,1999.230694
98,1995.919164
100,1993.310191
101,1999.636897
102,1995.919164
103,1999.230694
104,1995.919164
105,1995.919164
108,1995.919164
110,1995.919164
111,1995.919164
116,1999.636897
117,1995.919164
118,1995.919164
119,1999.230694
120,1995.919164
123,1995.919164
126,1992.441763
127,1995.919164
134,1995.919164
135,1995.919164
137,1999.636897
141,1995.919164
143,1999.230694
144,1995.919164
147,2005.3875
148,1993.310191
150,1993.310191
152,1992.441763
153,1999.636897
154,1993.310191
155,1999.636897
159,1999.636897
160,1999.636897
161,1993.310191
162,1995.919164
163,1995.919164
165,1992.441763
167,1993.310191
169,1995.919164
170,1995.919164
171,1995.919164
172,1999.230694
173,1999.636897
174,1993.310191
175,1995.919164
176,1999.636897
179,1995.919164
180,1995.919164
182,1995.919164
183,1999.636897
185,1999.636897
190,1999.230694
191,1999.636897
193,1999.230694
194,1995.919164
195,1992.441763
196,1995.919164
197,1995.919164
198,1995.919164
201,1993.310191
202,2005.3875
203,1999.636897
207,1995.919164
208,1999.230694
209,1995.919164
210,1995.919164
212,1993.310191
214,1995.919164
216,1995.919164
218,1995.919164
220,1993.310191
221,1995.919164
222,1995.919164
223,1995.919164
224,1992.441763
225,1995.919164
226,1999.636897
227,1999.636897
230,1999.636897
231,1993.310191
232,1999.230694
233,1995.919164
234,1995.919164
237,1995.919164
240,1999.230694
243,1999.636897
244,1995.919164
246,1995.919164
247,1995.919164
248,1995.919164
249,1999.636897
250,1995.919164
251,1992.441763
252,1995.919164
254,1995.919164
257,1993.310191
258,1995.919164
259,1993.310191
261,1992.441763
265,1995.919164
266,1995.919164
267,1993.314286
269,1992.441763
274,1995.919164
275,1995.919164
276,1995.919164
277,1993.310191
278,1995.919164
279,1999.230694
280,1995.919164
281,1995.919164
283,1995.919164
284,1995.919164
286,1995.919164
288,1999.636897
289,1999.636897
290,1995.919164
291,1999.636897
292,1995.919164
293,1995.919164
294,1995.919164
296,1999.230694
297,1993.310191
299,1999.636897
308,1995.919164
310,1995.919164
314,1999.636897
315,1999.636897
316,1999.636897
317,1993.310191
318,1995.919164
325,1999.230694
327,1995.919164
328,1995.919164
330,1992.441763
331,1995.919164
335,1999.636897
337,1995.919164
338,1999.636897
339,1999.636897
341,1995.919164
343,1995.919164
344,1995.919164
345,1995.919164
347,1995.919164
348,1995.919164
349,1999.636897
350,1992.441763
351,1999.230694
353,1995.919164
354,1992.441763
356,1995.919164
359,1995.919164
361,1993.310191
362,1995.919164
364,1995.919164
365,1995.919164
366,1995.919164
367,1993.310191
369,1999.636897
371,1995.919164
372,1999.636897
373,1999.636897
374,1995.919164
375,1992.441763
376,1999.636897
378,1999.230694
380,1999.230694
381,1995.919164
382,1995.919164
383,1999.636897
384,1995.919164
385,1995.919164
388,1995.919164
389,1995.919164
391,1993.310191
392,1995.919164
393,1993.310191
395,1995.919164
396,1995.919164
398,1999.636897
399,1995.919164
401,1995.919164
402,1993.310191
407,1995.919164
408,1999.636897
409,1999.636897
410,1999.230694
412,1993.310191
414,1995.919164
415,1995.919164
417,1999.230694
418,1995.919164
419,1999.636897
420,1995.919164
421,1995.919164
422,1993.310191
424,1999.636897
425,1995.919164
426,1995.919164
428,1993.310191
430,1995.919164
432,1995.919164
435,1995.919164
436,1993.310191
438,1995.919164
440,1993.310191
441,1993.310191
442,1995.919164
444,1999.636897
448,1995.919164
450,1999.230694
452,1995.919164
453,1995.919164
455,1999.636897
456,1999.636897
457,1995.919164
458,1999.636897
460,1995.919164
461,1999.230694
463,1999.636897
464,1995.919164
465,1995.919164
466,1993.310191
467,1995.919164
468,1999.636897
469,1999.636897
470,1995.919164
471,1993.310191
473,1999.636897
475,1999.230694
476,1992.441763
477,1995.919164
478,1995.919164
479,1999.636897
480,1995.919164
482,1995.919164
483,1995.919164
485,1993.310191
486,1995.919164
487,1999.230694
488,1995.919164
489,1999.230694
493,1999.636897
495,1999.230694
496,1995.919164
497,1995.919164
498,1993.310191
499,1999.230694
500,1995.919164
501,1999.636897
503,1992.441763
504,1995.919164
505,1995.919164
506,1999.230694
507,1995.919164
508,1993.310191
509,1995.919164
510,1999.636897
511,1995.919164
513,1995.919164
515,1999.230694
516,1993.310191
517,1995.919164
519,1995.919164
520,1995.919164
522,1995.919164
