,0
0,1989
1,1978
2,1991
3,1974
4,2010
5,2005
6,1976
7,1985
8,2012
9,1976
10,1988
11,2005
12,1999
13,1998
14,1984
15,1974
16,2000
17,2008
18,2010
19,1999
20,1982
21,1995
22,1982
23,1994
24,2012
25,1970
26,1986
27,2001
28,1980
29,1971
30,2004
31,1978
32,2010
33,1977
34,1976
35,1995
36,1964
37,2008
38,1999
39,1984
40,2000
41,2008
42,2011
43,1994
44,2000
45,1972
46,2000
47,2010
48,2001
49,1978
50,2010
51,1972
52,2013
53,2004
54,2009
55,2009
56,1994
57,2005
58,1985
59,2008
60,1989
61,1971
62,2009
63,2003
64,1976
65,1999
66,2010
67,1982
68,1994
69,1995
70,2008
71,2006
72,1998
73,2001
74,2000
75,1974
76,2008
77,1990
78,2004
79,1982
80,1974
81,2010
82,2003
83,2000
84,2012
85,1976
86,2000
87,2000
88,2005
89,1978
90,2010
91,1975
92,2007
93,1978
94,2002
95,1978
96,1998
97,1999
98,2006
99,2008
100,1988
101,1975
102,1991
103,1995
104,2007
105,2004
106,2000
107,1978
108,1990
109,1982
110,1978
111,1985
112,2007
113,2010
114,2009
115,1983
116,1977
117,1984
118,2006
119,2010
120,1982
121,2004
122,2005
123,1978
124,1988
125,1970
126,2002
127,1995
128,1980
129,1985
130,2008
131,2012
132,2006
133,2012
134,2008
135,2003
136,2003
137,2010
138,2010
139,1992
140,1980
141,2011
142,1991
143,2008
144,2002
145,2003
146,2008
147,2009
148,2009
149,1984
150,1974
151,2002
152,1983
153,2000
154,2001
155,2001
156,1973
157,1995
158,1974
159,1983
160,2003
161,2007
162,1976
163,1964
164,2000
165,2007
166,2009
167,1975
168,2008
169,2009
170,1990
171,2002
172,1992
173,1995
174,2008
175,1987
176,2009
177,2010
178,1976
179,1978
180,2005
181,1978
182,1995
183,1978
184,2009
185,1996
186,1980
187,1998
188,1978
189,1985
190,2013
191,2006
192,1975
193,2010
194,2005
195,1978
196,1997
197,2000
198,2010
199,1997
200,1994
201,2002
202,1999
203,2002
204,2003
205,1980
206,1997
207,2003
208,2000
209,2004
210,1986
211,1976
212,1983
213,2011
214,1992
215,1978
216,2005
217,1980
218,1978
219,2001
220,1998
221,1982
222,1994
223,2009
224,1992
225,2005
226,2008
227,1985
228,2011
229,1993
230,2003
231,1988
232,1973
233,2006
234,1990
235,1998
236,2009
237,1977
238,1998
239,2010
240,1993
241,2011
242,1990
243,2010
244,1998
245,2011
246,2009
247,2010
248,1998
249,1992
250,1994
251,1980
252,1989
253,1998
254,2011
255,2008
256,2008
257,1992
258,1976
259,1984
260,2008
261,1996
262,1978
263,2012
264,1999
265,1974
266,1970
267,2008
268,2007
269,1991
270,2013
271,1974
272,1989
273,2012
274,1999
275,2000
276,1978
277,1987
278,2010
279,1975
280,1996
281,2004
282,1986
283,2008
284,1963
285,2006
286,1982
287,1982
288,2010
289,1972
290,1997
291,2000
292,1988
293,1994
294,1982
295,1973
296,2010
297,2000
298,2000
299,2000
300,2010
301,1998
302,2000
303,1991
304,1992
305,2009
306,2002
307,1972
308,2004
309,2009
310,2009
311,2006
312,2000
313,2000
314,2001
315,1995
316,2001
317,1984
318,1998
319,1981
320,1989
321,1978
322,2010
323,1970
324,2009
325,1996
326,2008
327,1979
328,1995
329,1998
330,1972
331,1978
332,1990
333,2012
334,1978
335,2009
336,1979
337,1990
338,2008
339,1986
340,1972
341,1972
342,2000
343,1999
344,1983
345,1981
346,1980
347,1997
348,1980
349,2004
350,1994
351,2010
352,2005
353,1988
354,1974
355,2008
356,2010
357,1983
358,1976
359,1982
360,1984
361,2003
362,2004
363,1985
364,1980
365,2001
366,2000
367,1996
368,2006
369,1970
370,1980
371,2011
372,2004
373,1975
374,1991
375,1992
376,2002
377,2012
378,2009
379,2000
380,2006
381,2010
382,2003
383,2008
384,2005
385,2001
386,1978
387,2009
388,2008
389,2000
390,1997
391,2000
392,2007
393,1980
394,1977
395,2000
396,2010
397,1972
398,1995
399,2008
400,2003
401,2000
402,1992
403,2003
404,2005
405,2008
406,2006
407,2011
408,2007
409,2010
410,1978
411,2008
412,2006
413,1990
414,2006
415,2010
416,2009
417,1978
418,2013
419,1999
420,2001
421,1998
422,2001
423,2000
424,2001
425,1995
426,2003
427,2009
428,2009
429,1963
430,1998
431,1975
432,2009
433,1999
434,1995
435,1980
436,2008
437,2005
438,1980
439,2007
440,2010
441,2008
442,2011
443,1985
444,1981
445,2009
446,2008
447,2011
448,1998
449,1978
450,2000
451,2004
452,2000
453,2008
454,2008
455,1970
456,1982
457,2007
458,1984
459,2001
460,1994
461,1985
462,1999
463,1985
464,1978
465,1984
466,1974
467,2000
468,1984
469,2000
470,1987
471,2009
472,1991
473,2008
474,2011
475,1998
476,2001
477,2009
478,2011
479,1990
480,1990
481,1983
482,1990
483,2009
484,1994
485,1972
486,1990
487,1990
488,1999
489,2009
490,2000
491,2007
492,1978
493,1990
494,1972
495,2006
496,2004
497,2008
498,1982
499,1981
500,1978
501,1991
502,1999
503,1996
504,2000
505,1980
506,2006
507,2007
508,1996
509,2003
510,1996
511,2003
512,2009
513,2010
514,1999
515,2009
516,2006
517,2010
518,2008
519,1996
520,1986
521,1981
522,1992
523,1995
524,1992
525,1974
526,1992
