index,predicted-year,id
0,1991,19728
1,1997,19816
2,2013,54551
3,2005,53934
4,2004,46144
5,2003,36957
6,2000,53752
7,1995,6091
8,2004,20145
9,1988,46804
10,1996,41583
11,2008,67359
12,1992,60048
13,2013,12958
14,2008,13620
15,1976,10745
16,2013,32376
17,1991,9417
18,1982,31714
19,2008,22108
20,1974,17386
21,1974,41609
22,1996,62971
23,1997,52561
24,1997,34383
25,2008,68717
26,2003,30537
27,2003,22143
28,1995,48593
29,2006,29083
30,1997,43206
31,2003,59902
32,2004,60371
33,2010,7116
34,2000,10784
35,2010,49503
36,2007,54248
37,2008,24409
38,2012,64447
39,2000,22897
40,2008,14016
41,1984,69525
42,1997,33235
43,2007,41839
44,2004,62002
45,1980,6106
46,1974,25915
47,1986,20673
48,2003,69107
49,2000,44002
50,2000,37471
51,1972,49585
52,1994,64130
53,2010,28669
54,2003,73769
55,1974,24232
56,1974,72981
57,1960,45564
58,1994,23519
59,2008,50173
60,2011,63632
61,2009,11787
62,2008,72678
63,1986,56725
64,2003,33037
65,2010,68908
66,1988,2136
67,1993,58126
68,2000,45604
69,2011,67428
70,1984,52318
71,2000,41034
72,1972,8879
73,1987,30377
74,2000,10068
75,2013,34609
76,2010,26701
77,2008,31626
78,2010,43098
79,2008,34853
80,2008,31132
81,2003,28740
82,1997,7171
83,2012,58838
84,1960,72374
85,1995,33169
86,1987,49994
87,2000,59588
88,1997,16944
89,1974,35828
90,2012,70241
91,1995,13042
92,2007,10891
93,2009,33500
94,2000,31957
95,1974,47462
96,1995,28110
97,2000,52448
98,2011,36933
99,2008,50139
100,2007,36455
101,1974,49732
102,1997,20200
103,1992,36366
104,2008,71487
105,2003,36093
106,1992,68037
107,2000,64793
108,1990,62565
109,2012,70379
110,2005,10089
111,2008,37364
112,2009,43345
113,2004,39310
114,1982,59713
115,2002,28945
116,1996,54009
117,2007,17668
118,2008,30390
119,2012,1298
120,1974,35649
121,1976,15840
122,1997,45415
123,2012,8055
124,1990,51403
125,2005,33963
126,1995,7900
127,2003,13195
128,2010,17111
129,2013,21338
130,2003,49326
131,2000,33040
132,1993,40920
133,2012,21127
134,1997,32089
135,2008,68887
136,2006,17897
137,2003,23987
138,2011,26655
139,2012,51558
140,2011,13969
141,1996,66980
142,1995,59310
143,1986,66242
144,2006,53847
145,1993,73470
146,2008,11533
147,2000,4101
148,1972,62642
149,1997,65932
150,1978,34870
151,2008,70019
152,2009,20984
153,2013,20132
154,2004,5963
155,2000,42548
156,2000,57478
157,1986,4062
158,1974,54412
159,1991,59874
160,1960,29639
161,1997,43808
162,1997,51220
163,2007,16872
164,2000,29383
165,1995,29753
166,2000,779
167,2005,48102
168,2007,24794
169,2000,29771
170,2008,4923
171,2006,27079
172,1992,67155
173,1997,16313
174,1991,1220
175,1997,52677
176,1987,19548
177,1982,22000
178,2000,25913
179,2005,31264
180,1997,16537
181,2003,9096
182,1995,11754
183,2008,70666
184,2012,18266
185,1960,6387
186,2005,66967
187,1991,68495
188,2000,3522
189,1960,21927
190,1997,54983
191,1993,5947
192,2008,67371
193,2005,4133
194,2005,45876
195,2010,52402
196,2006,36823
197,1974,63746
198,2006,41174
199,1984,31332
200,2006,27334
201,2008,49196
202,1997,70584
203,2000,6758
204,1997,70054
205,2000,52707
206,2000,68660
207,2008,29658
208,2012,42195
209,2000,23315
210,2008,45093
211,2000,45889
212,2006,71634
213,2000,48546
214,1984,11957
215,1997,38775
216,1997,66760
217,2009,61574
218,2004,67199
219,2008,6939
220,2012,27776
221,2012,60433
222,2003,48033
223,2008,7420
224,2007,32336
225,1976,36711
226,2009,37750
227,1997,38763
228,2008,53985
229,1997,20625
230,1997,54596
231,2000,67545
232,2009,51355
233,1980,7863
234,2012,27128
235,2000,28741
236,1991,7936
237,1997,15188
238,1991,69979
239,2003,25199
240,1986,32699
241,2003,25339
242,1972,53106
243,1994,39953
244,1974,22679
245,1995,19409
246,1997,57293
247,2000,54599
248,2004,24052
249,2000,11362
250,1986,71216
251,2000,71891
252,1997,38537
253,2013,69377
254,1997,492
255,2003,11641
256,2000,71837
257,1997,36267
258,2013,13866
259,1999,42943
260,2008,27736
261,1991,68179
262,2010,19672
263,2007,25766
264,1991,59448
265,1974,17287
266,1997,27799
267,2003,61039
268,1986,71895
269,2004,25947
270,1974,45744
271,2012,18848
272,2003,6044
273,1997,57305
274,2000,58286
275,1997,66643
276,1997,47221
277,2007,11497
278,1997,41560
279,1975,1981
280,2010,72237
281,1997,51820
282,1987,23732
283,2003,57085
284,1988,47783
285,1982,11388
286,1978,72943
287,1991,28921
288,2003,50641
289,2012,1074
290,1974,13739
291,1997,58495
292,1997,41985
293,2000,52390
294,1995,2829
295,2000,34664
296,2003,16672
297,2007,4778
298,1989,13555
299,1983,28822
300,2010,50898
301,1983,4672
302,2003,70424
303,1997,37915
304,2003,7784
305,2000,6424
306,2000,146
307,2003,60410
308,2008,22244
309,2013,19362
310,2000,54055
311,1997,36606
312,2000,72553
313,2012,20639
314,1988,34305
315,1982,18928
316,2006,44976
317,2008,10085
318,2010,22396
319,1995,47697
320,2008,49160
321,2009,65061
322,2000,30320
323,1982,69136
324,1984,25367
325,2003,53109
326,2010,16363
327,1997,52686
328,1997,32543
329,1990,20697
330,2007,26962
331,2008,55560
332,2000,5563
333,1999,44490
334,2006,4379
335,1985,32952
336,2000,42342
337,2003,43079
338,1996,46510
339,1986,17088
340,2000,38201
341,1997,15306
342,1983,72772
343,2013,52991
344,1972,33094
345,2004,38474
346,2003,36914
347,1979,11961
348,2005,1678
349,1997,14763
350,2008,41826
351,1960,62435
352,1997,11570
353,1986,41064
354,1976,2296
355,1988,8975
356,2008,55516
357,1972,34340
358,2000,73545
359,2012,21810
360,1997,72386
361,1990,29182
362,2004,5277
363,2013,26402
364,2003,65213
365,2000,19234
366,2000,61177
367,2006,11352
368,1982,19595
369,2008,52643
370,1976,20637
371,1974,52547
372,1997,15529
373,1983,48505
374,2009,59257
375,1999,15044
376,1987,32145
377,2004,38563
378,2000,6905
379,1965,46317
380,2000,4674
381,1965,20872
382,2000,34554
383,1976,43016
384,1998,24198
385,2000,49627
386,1993,16898
387,2008,18730
388,2000,42001
389,2000,45954
390,2006,4072
391,2000,9850
392,2008,27733
393,1990,19274
394,2003,44507
395,2013,70026
396,2007,21745
397,1997,47134
398,2003,33789
399,1980,68054
400,2000,50879
401,1984,60376
402,2008,46138
403,1997,25576
404,2000,17413
405,2013,2080
406,2000,64577
407,2013,9182
408,2009,2484
409,1991,51371
410,1960,32063
411,2003,69226
412,2008,46652
413,2013,59430
414,1997,3948
415,2006,19346
416,1974,1775
417,2000,30241
418,2007,33553
419,1997,53697
420,2000,13285
421,2000,19061
422,1995,21065
423,1986,71302
424,1986,5116
425,1995,44654
426,2008,65214
427,2008,19542
428,2000,15760
429,2005,69542
430,2007,58390
431,2003,89
432,1986,11416
433,2007,32185
434,2007,5291
435,2006,46549
436,2003,45439
437,1995,26627
438,1987,62372
439,2008,18829
440,1997,5415
441,2011,38140
442,1986,5589
443,1984,25692
444,2005,30213
445,1974,19102
446,1997,51699
447,2006,53761
448,1997,73367
449,1996,50957
450,1990,23014
451,2004,52436
452,1977,33848
453,2008,29378
454,2013,27291
455,1997,59249
456,2005,37723
457,2003,16855
458,2003,1741
459,2007,41336
460,2000,71021
461,2009,10465
462,2004,33622
463,2011,74236
464,2002,1347
465,2008,55447
466,2000,16362
467,1985,19344
468,2000,11010
469,1991,49775
470,1998,40563
471,1997,50709
472,2007,2834
473,1995,12268
474,2000,57454
475,2012,42980
476,2000,66722
477,2006,44200
478,2011,63061
479,2007,63483
480,2000,46823
481,2011,5250
482,2000,2004
483,2005,67908
484,1987,28644
485,2003,55925
486,1982,5813
487,2008,7866
488,1974,66050
489,2010,8814
490,1980,27909
491,2010,9452
492,2006,18193
493,2009,43431
494,1991,36888
495,1974,40154
496,2010,25096
497,2006,51193
498,2000,17939
499,1991,70420
500,2013,32528
501,1991,59436
502,2010,66996
503,1987,3348
504,1984,24425
505,2008,36453
506,2006,31808
507,2003,50581
508,2003,55387
509,1997,18382
510,1993,70718
511,2000,22677
512,2007,69253
513,1997,55650
514,2004,69847
515,1991,21267
516,1994,19091
517,1982,53537
518,2008,32103
519,2005,35230
520,2000,2711
521,1997,53371
522,1997,43725
523,2009,23962
524,1987,53410
525,2008,61217
526,2012,43501
527,1991,54036
528,2012,2091
529,2000,69773
530,1972,14437
531,2013,33224
532,1982,55077
533,1960,26185
534,2006,62749
535,1960,2289
536,2007,34312
537,2010,34162
538,2008,55838
539,2004,71800
540,1997,1073
541,2000,31636
542,1972,63271
543,1998,54980
544,1986,56074
545,1976,24302
546,2013,42684
547,1998,70730
548,2012,48449
549,2013,39211
550,1995,36481
551,2008,43968
552,1995,5280
553,2000,50509
554,1984,23803
555,2000,20008
556,2006,53910
557,2008,60543
558,2008,18127
559,2000,68633
560,2012,34493
561,1997,44381
562,1997,60941
563,2003,66230
564,1991,27548
565,1997,73565
566,1996,38862
567,2013,70344
568,1995,51121
569,1997,18420
570,1972,37316
571,2005,15551
572,2009,34308
573,2008,49918
574,2000,1863
575,1997,46909
576,2000,36694
577,1992,61050
578,2010,30242
579,2000,3368
580,1997,41246
581,2008,45786
582,2000,24240
583,1984,22297
584,1997,49547
585,2000,7655
586,1997,30188
587,1994,68613
588,1979,54464
589,2000,63836
590,1984,49576
591,2003,59059
592,1982,57601
593,1997,16040
594,2006,7787
595,2005,7702
596,2008,32420
597,2000,62363
598,2000,42936
599,1984,16477
600,1991,35414
601,1995,67499
602,1984,15734
603,2008,46244
604,1997,58909
605,2009,16357
606,1997,28287
607,1982,5108
608,2012,8434
609,1996,36495
610,2008,53399
611,2007,46257
612,2008,60479
613,1991,25018
614,2000,61479
615,2003,41011
616,1972,13176
617,1972,13751
618,2000,39108
619,1997,19865
620,2007,26359
621,2008,73849
622,2000,64629
623,1991,70322
624,2004,11897
625,2008,72979
626,2008,41783
627,2000,68661
628,1980,74103
629,2000,54044
630,2007,3788
631,2000,12218
632,2007,69187
633,2008,25091
634,2008,43762
635,2008,64904
636,2005,4567
637,2008,70277
638,2007,46474
639,2000,66331
640,1972,55430
641,2008,49059
642,2003,25184
643,2003,19226
644,1982,29642
645,1983,60361
646,1996,13157
647,2004,9011
648,2000,30550
649,1974,8635
650,2005,17660
651,1986,62952
652,2000,20109
653,1974,70332
654,2013,49849
655,2000,42438
656,2000,4789
657,1983,48971
658,2012,65190
659,1970,59896
660,2010,70006
661,1974,575
662,1960,54653
663,2000,26657
664,1997,19396
665,2008,14811
666,2000,70505
667,1997,39775
668,1982,15239
669,2005,33862
670,1994,757
671,1997,73660
672,1996,36984
673,1974,628
674,2000,29549
675,2009,70247
676,2012,37063
677,2010,30958
678,2008,31699
679,1984,71463
680,1986,45090
681,1991,66519
682,1997,71515
683,1976,2859
684,2008,67491
685,1994,52153
686,1986,66636
687,1998,37854
688,2000,2794
689,2000,71742
690,2013,50570
691,1996,25510
692,2000,71358
693,2003,1908
694,1976,22539
695,1997,37891
696,2008,44558
697,2013,27350
698,1997,71699
699,2011,67184
700,2000,41230
701,2000,42441
702,2008,51076
703,2003,8513
704,1972,23942
705,1997,10299
706,2003,28973
707,1974,49568
708,1995,24714
709,2000,30505
710,1994,67866
711,1974,44963
712,1990,48027
713,2000,38488
714,2011,54414
715,2013,39370
716,1997,9124
717,1984,9408
718,1998,1624
719,2011,28588
720,2011,4894
721,2012,44447
722,1997,49992
723,2000,59138
724,2000,39170
725,2008,26565
726,1994,52333
727,2012,46372
728,1997,38520
729,1997,23367
730,2000,26792
731,2000,71975
732,1983,19049
733,2008,23543
734,1993,47818
735,2003,9714
736,2009,25027
737,2010,41639
738,2013,32908
739,2000,32487
740,2008,19196
741,1974,59098
742,2010,57813
743,1988,44655
744,1997,51984
745,2011,21902
746,2006,40661
747,2000,47916
748,1996,37551
749,2004,56298
750,1994,41436
751,1997,5549
752,2007,24809
753,1987,58012
754,2006,20404
755,2004,57821
756,2004,46370
757,2008,65298
758,1982,56523
759,1972,8236
760,1995,65043
761,2000,59735
762,1994,22028
763,2002,4792
764,2010,5340
765,2012,70137
766,2003,8834
767,2009,24264
768,2006,71702
769,2013,69095
770,2010,15745
771,1984,29097
772,1999,15
773,1991,8973
774,1998,65706
775,2000,51863
776,2008,73502
777,2010,64502
778,2008,12190
779,1980,59599
780,1995,58950
781,2008,70537
782,2013,16162
783,2003,12217
784,2013,62759
785,1991,63820
786,1986,5787
787,2004,37541
788,2005,72946
789,2012,48629
790,2008,71677
791,2000,15280
792,2013,57585
793,2000,12925
794,2008,68384
795,2010,15563
796,2006,72233
797,2008,42924
798,2003,26684
799,1990,40214
800,2000,33323
801,1982,11494
802,1974,44442
803,2003,63338
804,1991,27693
805,1998,17878
806,1997,31746
807,2003,66783
808,2007,468
809,2000,3814
810,1997,56791
811,2000,73635
812,2003,66572
813,1988,37710
814,2013,30726
815,2003,987
816,2008,50658
817,2008,66833
818,2003,19521
819,1997,40310
820,1994,4
821,1991,8979
822,1976,6575
823,2004,70125
824,2000,54806
825,1987,73208
826,1997,45071
827,1991,62437
828,2008,68828
829,1991,69440
830,2008,53051
831,2000,17627
832,1986,2566
833,2000,70888
834,1974,26884
835,1960,54704
836,2012,28962
837,1998,24993
838,2005,3864
839,2011,37066
840,2000,27576
841,2003,8317
842,2000,58910
843,2003,62454
844,2006,58328
845,2009,18952
846,2003,32701
847,2008,53470
848,2009,46165
849,1997,28366
850,2003,32202
851,2000,70451
852,1985,58343
853,1997,57857
854,1975,63225
855,1997,7980
856,1998,12244
857,1996,14790
858,1974,46849
859,1982,34398
860,2008,29138
861,2010,9348
862,2000,58703
863,2004,51832
864,1990,56870
865,2007,11903
866,2012,74090
867,2012,20832
868,2000,18117
869,1998,66398
870,2007,36700
871,1991,12393
872,2000,66769
873,1997,7045
874,2012,12416
875,1979,39194
876,1972,39544
877,2000,8204
878,2008,70244
879,2004,25865
880,2000,26696
881,1997,27200
882,2013,67050
883,2000,29710
884,1997,58031
885,1992,37649
886,1997,45126
887,2000,33291
888,2008,6122
889,1987,4633
890,1997,62696
891,2006,15718
892,1991,40779
893,2005,28210
894,1997,65188
895,2009,70685
896,2000,65916
897,2004,12936
898,1983,1359
899,1972,59775
900,1976,27590
901,2008,40450
902,2005,70330
903,2009,60081
904,1974,66451
905,2000,51173
906,1990,32465
907,2000,8116
908,2000,39009
909,2008,66201
910,1995,14428
911,2008,20181
912,2013,58827
913,2013,17521
914,1986,71205
915,2000,55419
916,1991,60734
917,2000,23170
918,2005,16608
919,1996,14343
920,2007,61616
921,2012,40444
922,2000,26816
923,1996,26938
924,1983,63126
925,1981,57325
926,1972,2450
927,1983,41151
928,1988,60500
929,2008,35544
930,2000,26227
931,1983,21812
932,2003,33147
933,1997,49170
934,1994,24950
935,2004,62510
936,1983,44036
937,1988,36592
938,2000,7048
939,1996,25424
940,1997,30272
941,2000,41752
942,1979,47094
943,2000,34413
944,2011,63781
945,2013,10179
946,2013,1915
947,1997,59462
948,1960,65148
949,2000,40815
950,2008,16157
951,2000,42844
952,2011,36184
953,2003,18709
954,1987,41263
955,2003,50899
956,2004,64081
957,2000,9749
958,2000,25130
959,1999,51385
960,1984,64496
961,2000,38940
962,2009,5592
963,2012,1975
964,2003,38072
965,1995,35718
966,2013,65456
967,2013,44898
968,2007,40494
969,1988,57514
970,1996,42356
971,2010,3898
972,1984,3837
973,2013,45451
974,2006,35785
975,1997,15990
976,2003,53616
977,2005,60730
978,1996,50649
979,2003,57637
980,1984,20860
981,2006,56503
982,2007,69786
983,2013,24917
984,1991,24440
985,2012,23453
986,2000,14849
987,1984,4926
988,1997,17860
989,2000,24867
990,1960,29740
991,2012,63348
992,2000,52386
993,2008,44196
994,1984,54484
995,1982,21743
996,1997,18613
997,1996,17327
998,2008,71734
999,2008,16526
1000,2013,41687
1001,2008,63911
1002,2004,4895
1003,1996,65395
1004,1997,36065
1005,1982,67237
1006,2013,8925
1007,2009,45725
1008,1972,49484
1009,2003,55687
1010,1997,73796
1011,1974,73421
1012,1997,23698
1013,2012,68659
1014,2008,63752
1015,1979,62892
1016,1987,46402
1017,1998,12055
1018,2000,34454
1019,2012,5574
1020,1997,20817
1021,1997,54558
1022,2004,41116
1023,1997,22868
1024,2002,26997
1025,2012,45365
1026,2008,3566
1027,1995,35729
1028,1994,37098
1029,2009,1133
1030,1995,21184
1031,1990,64503
1032,2011,50481
1033,2000,44463
1034,2000,29735
1035,1996,61703
1036,1997,640
1037,2008,60504
1038,1992,48364
1039,2000,48283
1040,2002,4657
1041,1995,61453
1042,1980,27386
1043,2008,25158
1044,2000,27443
1045,2008,29445
1046,2000,51404
1047,2008,32395
1048,2005,29830
1049,1997,73709
1050,2000,30896
1051,2000,12847
1052,1990,64219
1053,1997,65992
1054,2007,59846
1055,2007,62005
1056,2013,68909
1057,2007,64424
1058,2007,21042
1059,2000,13765
1060,2009,13252
1061,1984,59482
1062,1974,4620
1063,1997,52477
1064,1991,36253
1065,1998,40297
1066,2000,46449
1067,2011,23592
1068,1991,48202
1069,2008,62444
1070,1984,19972
1071,2000,61743
1072,2000,35999
1073,1990,1368
1074,1987,26860
1075,1972,12762
1076,1982,59075
1077,2000,37646
1078,2003,42716
1079,1995,63607
1080,2008,66622
1081,2006,46725
1082,2000,2953
1083,1988,62088
1084,2013,30509
1085,2012,7214
1086,2012,23837
1087,2003,69671
1088,1990,61604
1089,1990,16015
1090,1997,65947
1091,2010,74128
1092,1976,15518
1093,1987,14549
1094,2010,394
1095,1997,46453
1096,1986,17226
1097,2000,31799
1098,1974,67259
1099,1990,55403
1100,2003,676
1101,2004,10375
1102,1997,56975
1103,2000,39785
1104,2004,31973
1105,2003,11202
1106,2002,28512
1107,2008,1082
1108,1960,3373
1109,1972,42158
1110,2013,2667
1111,1974,31429
1112,1998,12596
1113,2003,67809
1114,1995,72514
1115,2004,22981
1116,1993,32835
1117,2006,18176
1118,2008,12487
1119,1997,68779
1120,1994,23262
1121,1974,70894
1122,2013,42036
1123,1960,22849
1124,2008,42440
1125,1972,47047
1126,1976,41081
1127,2011,70287
1128,1985,29107
1129,2000,63255
1130,1981,19967
1131,1991,9692
1132,2000,67999
1133,2002,8301
1134,2000,62131
1135,1997,29494
1136,2003,46629
1137,2000,30769
1138,1995,60712
1139,2003,56052
1140,1997,6391
1141,1997,73968
1142,2011,22416
1143,2003,69708
1144,2007,54374
1145,2000,1634
1146,1990,20845
1147,1992,68840
1148,2012,59316
1149,1991,68108
1150,2006,56026
1151,2013,62764
1152,2009,17186
1153,2008,3562
1154,2000,42069
1155,1997,34725
1156,2011,19468
1157,2012,25784
1158,2000,33709
1159,2008,57455
1160,1990,37308
1161,2000,4857
1162,1996,41817
1163,2003,67625
1164,2006,260
1165,1997,13298
1166,2013,40782
1167,2008,33788
1168,1974,8888
1169,1960,55329
1170,2007,30239
1171,2000,51284
1172,2000,28944
1173,2006,52181
1174,1991,34480
1175,2013,11339
1176,1974,40687
1177,2008,51556
1178,2000,71834
1179,2007,36400
1180,2000,37553
1181,1987,62204
1182,1974,64668
1183,1997,35151
1184,2004,25741
1185,2005,4512
1186,1980,7332
1187,1998,16570
1188,1990,8421
1189,1984,13989
1190,2008,72888
1191,2003,26712
1192,1986,1485
1193,1972,12081
1194,1991,65588
1195,2009,72418
1196,1984,14600
1197,1994,40769
1198,2011,50661
1199,1997,52420
1200,1997,45164
1201,2003,65231
1202,2000,68366
1203,2013,64841
1204,1961,24952
1205,2013,34452
1206,2003,12618
1207,1984,49120
1208,2008,43105
1209,1994,47732
1210,2007,45578
1211,1996,17932
1212,1974,25857
1213,1990,226
1214,1997,25559
1215,2008,73316
1216,2003,23486
1217,1991,14613
1218,2000,4831
1219,1986,14994
1220,2005,39345
1221,2000,73894
1222,1997,49474
1223,2003,61378
1224,2011,30542
1225,2012,59912
1226,2000,64450
1227,1972,27494
1228,1999,54205
1229,2004,6764
1230,2008,30903
1231,2003,34359
1232,1995,15952
1233,1974,63686
1234,2006,25842
1235,2012,5058
1236,1995,14250
1237,2000,11846
1238,2005,72097
1239,1987,57525
1240,2004,37282
1241,2000,5391
1242,2007,68713
1243,1982,14075
1244,1960,42770
1245,2000,26391
1246,2000,20801
1247,1997,56361
1248,2000,21328
1249,2003,56119
1250,1986,40522
1251,2007,12603
1252,2003,13628
1253,1998,15179
1254,2003,18070
1255,2011,43603
1256,1979,51301
1257,2012,63030
1258,1982,17436
1259,1998,40464
1260,2007,54348
1261,2003,60088
1262,2013,5387
1263,1994,9223
1264,2006,72060
1265,2013,6061
1266,2000,8875
1267,2010,13108
1268,1991,16037
1269,1991,9505
1270,1976,68945
1271,2008,22760
1272,2008,25502
1273,2003,60278
1274,1997,53413
1275,2010,70098
1276,1993,16551
1277,1990,31850
1278,1989,3376
1279,2012,43649
1280,2013,16584
1281,1965,13068
1282,2000,47269
1283,2003,12904
1284,1984,212
1285,1984,44519
1286,1996,34293
1287,1960,64932
1288,1983,57919
1289,1991,73307
1290,1997,33442
1291,2012,51839
1292,2008,6681
1293,2008,59077
1294,2003,24426
1295,2000,62997
1296,2000,10099
1297,1990,62347
1298,1995,32634
1299,2007,20169
1300,2004,45304
1301,1983,53965
1302,1997,70316
1303,1983,73482
1304,1994,39286
1305,2011,70022
1306,2000,1146
1307,2000,59406
1308,2002,9455
1309,2012,52439
1310,2010,72420
1311,1997,73347
1312,2008,28452
1313,2000,10121
1314,1992,6119
1315,1998,16594
1316,1997,39216
1317,1993,8425
1318,1979,44450
1319,1986,16238
1320,1997,23613
1321,1995,25156
1322,2000,13756
1323,2010,7808
1324,2013,43878
1325,1994,20492
1326,1988,40941
1327,2012,66389
1328,2003,65255
1329,1991,42808
1330,2000,46954
1331,1987,42070
1332,1984,15972
1333,2000,61340
1334,2012,29487
1335,1997,22560
1336,2008,61143
1337,2012,24575
1338,2012,57916
1339,2008,6164
1340,1976,26088
1341,1986,56823
1342,2007,10026
1343,2011,60478
1344,1987,47105
1345,2002,65337
1346,2008,48287
1347,2003,68312
1348,2000,13796
1349,2003,12531
1350,2004,6260
1351,1983,66631
1352,2007,28102
1353,2008,43230
1354,2000,69221
1355,1981,29229
1356,2012,61400
1357,2000,19918
1358,1998,2061
1359,2010,20767
1360,2004,40816
1361,2003,55042
1362,1997,3437
1363,1997,58872
1364,2009,73752
1365,2008,21944
1366,1974,39891
1367,2000,33335
1368,1984,12987
1369,1997,11287
1370,1997,30277
1371,1972,37647
1372,2012,10557
1373,2006,35189
1374,2008,52256
1375,2008,67442
1376,1979,38108
1377,1987,38601
1378,2003,30199
1379,1991,36879
1380,2000,11227
1381,1991,28378
1382,2007,23317
1383,2002,792
1384,1986,2078
1385,1983,40142
1386,2000,18316
1387,1997,40244
1388,1972,3868
1389,2010,15583
1390,1968,51807
1391,1984,64072
1392,2000,48693
1393,2006,52377
1394,1987,25523
1395,1984,16752
1396,2012,7170
1397,1984,32616
1398,1984,22940
1399,2010,17451
1400,2009,43716
1401,1994,59039
1402,1984,53987
1403,2003,57111
1404,2006,541
1405,1983,37873
1406,2010,7003
1407,2000,50563
1408,2006,42995
1409,1993,48772
1410,2009,61434
1411,1986,10366
1412,2008,40386
1413,2004,13158
1414,1992,41776
1415,2000,62094
1416,2007,14157
1417,1973,10405
1418,1974,10230
1419,2004,51766
1420,2006,51214
1421,2000,46014
1422,2011,2212
1423,2011,25003
1424,2008,8620
1425,2007,44018
1426,2008,17744
1427,1991,26429
1428,2008,38500
1429,2005,25230
1430,2000,61692
1431,2010,43485
1432,2000,36646
1433,2007,8345
1434,1983,44310
1435,1997,28037
1436,2000,38088
1437,2000,68359
1438,1997,58899
1439,2008,30582
1440,2003,61976
1441,2004,4733
1442,2011,17855
1443,2008,69570
1444,2003,27235
1445,1991,18844
1446,1986,2918
1447,1997,14823
1448,1997,7381
1449,2003,73827
1450,2005,13047
1451,2008,41549
1452,1988,829
1453,2007,37261
1454,2003,49308
1455,2008,35723
1456,2000,1268
1457,1974,46515
1458,2009,30894
1459,2003,16111
1460,1993,67094
1461,2007,31524
1462,2003,74178
1463,1983,32069
1464,2003,10640
1465,1987,49089
1466,2013,14798
1467,1997,3403
1468,1995,17625
1469,2006,55897
1470,1986,58001
1471,2004,56242
1472,2008,13736
1473,2000,4474
1474,2012,22128
1475,1997,26611
1476,1975,54145
1477,2010,51748
1478,2000,4811
1479,1984,10232
1480,2000,42872
1481,1997,1351
1482,2007,36483
1483,2010,18634
1484,1988,44401
1485,2000,73964
