,0
0,Other
1,VWC
2,VWC
3,VWC
4,VWC
5,Parastatal
6,VWC
7,WUA
8,VWC
9,Private operator
10,VWC
11,VWC
12,VWC
13,VWC
14,WUG
15,VWC
16,VWC
17,Parastatal
18,VWC
19,VWC
20,WUA
21,VWC
22,VWC
23,VWC
24,WUA
25,Water authority
26,VWC
27,VWC
28,VWC
29,Parastatal
30,Private operator
31,VWC
32,VWC
33,VWC
34,VWC
35,Water Board
36,VWC
37,VWC
38,VWC
39,VWC
40,VWC
41,VWC
42,VWC
43,VWC
44,VWC
45,VWC
46,VWC
47,VWC
48,VWC
49,VWC
50,WUA
51,VWC
52,VWC
53,VWC
54,Other
55,VWC
56,VWC
57,WUG
58,Water Board
59,VWC
60,VWC
61,VWC
62,VWC
63,VWC
64,VWC
65,VWC
66,VWC
67,VWC
68,VWC
69,VWC
70,VWC
71,WUG
72,VWC
73,VWC
74,VWC
75,Water Board
76,VWC
77,VWC
78,VWC
79,Water Board
80,VWC
81,Water authority
82,VWC
83,VWC
84,VWC
85,Other
86,Other
87,VWC
88,VWC
89,Private operator
90,VWC
91,VWC
92,VWC
93,WUG
94,VWC
95,VWC
96,VWC
97,VWC
98,WUA
99,VWC
100,WUA
101,VWC
102,VWC
103,VWC
104,VWC
105,VWC
106,VWC
107,VWC
108,WUG
109,VWC
110,VWC
111,Water authority
112,VWC
113,VWC
114,Other
115,VWC
116,VWC
117,Water authority
118,VWC
119,Company
120,VWC
121,VWC
122,VWC
123,Other
124,VWC
125,Other
126,VWC
127,VWC
128,VWC
129,VWC
130,Water authority
131,VWC
132,VWC
133,VWC
134,WUA
135,VWC
136,WUA
137,VWC
138,Other
139,VWC
140,VWC
141,VWC
142,Water Board
143,VWC
144,VWC
145,Parastatal
146,VWC
147,VWC
148,VWC
149,VWC
150,VWC
151,VWC
152,Water authority
153,VWC
154,VWC
155,VWC
156,VWC
157,VWC
158,VWC
159,VWC
160,VWC
161,VWC
162,WUA
163,VWC
164,VWC
165,VWC
166,VWC
167,VWC
168,VWC
169,VWC
170,VWC
171,VWC
172,VWC
173,Water authority
174,VWC
175,VWC
176,VWC
177,VWC
178,VWC
179,WUA
180,Private operator
181,Water Board
182,VWC
183,Company
184,VWC
185,VWC
186,Other
187,VWC
188,Water Board
189,VWC
190,VWC
191,VWC
192,VWC
193,VWC
194,VWC
195,VWC
196,VWC
197,VWC
198,VWC
199,VWC
200,Water Board
201,VWC
202,VWC
203,VWC
204,VWC
205,VWC
206,VWC
207,VWC
208,VWC
209,VWC
210,VWC
211,VWC
212,VWC
213,VWC
214,VWC
215,VWC
216,VWC
217,Water Board
218,VWC
219,VWC
220,VWC
221,VWC
222,VWC
223,Water Board
224,Water authority
225,Parastatal
226,VWC
227,Other
228,WUA
229,VWC
230,WUA
231,VWC
232,VWC
233,VWC
234,VWC
235,WUA
236,VWC
237,Private operator
238,VWC
239,VWC
240,VWC
241,Private operator
242,VWC
243,Other
244,Private operator
245,Water authority
246,VWC
247,VWC
248,VWC
249,Private operator
250,VWC
251,VWC
252,VWC
253,VWC
254,VWC
255,Water Board
256,VWC
257,VWC
258,VWC
259,Water Board
260,VWC
261,VWC
262,VWC
263,VWC
264,VWC
265,Parastatal
266,Company
267,VWC
268,VWC
269,VWC
270,Private operator
271,VWC
272,Water authority
273,VWC
274,VWC
