,0
0,functional
1,functional
2,functional
3,non functional
4,functional
5,functional
6,functional
7,non functional
8,functional
9,functional
10,functional
11,non functional
12,non functional
13,functional
14,functional
15,functional
16,non functional
17,functional
18,functional
19,non functional
20,non functional
21,functional
22,non functional
23,non functional
24,functional
25,functional
26,functional
27,non functional
28,functional
29,functional
30,functional
31,non functional
32,functional
33,functional
34,functional
35,functional
36,functional
37,functional
38,non functional
39,functional
40,functional
41,non functional
42,non functional
43,non functional
44,functional
45,functional
46,functional
47,functional
48,functional
49,functional
50,functional
51,non functional
52,functional
53,non functional
54,non functional
55,non functional
56,non functional
57,non functional
58,functional
59,functional
60,functional
61,functional
62,functional
63,non functional
64,functional
65,functional
66,functional
67,functional
68,functional
69,non functional
70,non functional
71,non functional
72,functional
73,functional
74,functional
75,functional
76,functional
77,functional
78,functional
79,functional
80,functional
81,non functional
82,functional
83,functional
84,functional
85,functional
86,functional
87,non functional
88,non functional
89,functional
90,functional
91,non functional
92,functional
93,functional needs repair
94,functional
95,functional
96,functional
97,functional
98,functional
99,functional
100,non functional
101,non functional
102,non functional
103,functional
104,functional
105,non functional
106,functional
107,functional
108,functional
109,functional
110,functional
111,non functional
112,functional
113,functional
114,functional
115,functional
116,functional
117,functional
118,functional
119,functional
120,functional
121,functional
122,functional
123,functional
124,functional
125,functional
126,functional
127,functional
128,functional
129,non functional
130,functional
131,functional
132,functional
133,non functional
134,functional
135,non functional
136,functional
137,functional needs repair
138,non functional
139,functional
140,functional
141,non functional
142,non functional
143,non functional
144,functional
145,functional
146,non functional
147,functional
148,functional
149,non functional
150,functional
151,functional
152,functional
153,functional
154,functional
155,functional
156,functional
157,non functional
158,functional
159,non functional
160,functional
161,non functional
162,non functional
163,non functional
164,functional
165,functional
166,non functional
167,non functional
168,functional
169,functional
170,functional
171,functional
172,functional
173,non functional
174,functional
175,non functional
176,functional
177,functional
178,non functional
179,functional
180,non functional
181,functional
182,functional
183,functional
184,functional
185,non functional
186,functional
187,non functional
188,non functional
189,non functional
190,non functional
191,functional
192,functional
193,functional
194,functional
195,non functional
196,functional
197,non functional
198,functional
199,functional
200,functional
201,functional
202,functional
203,non functional
204,non functional
205,non functional
206,non functional
207,functional
208,functional
209,non functional
210,non functional
211,functional
212,non functional
213,non functional
214,functional
215,functional
216,non functional
217,functional
218,functional
219,functional
220,functional
221,non functional
222,functional
223,functional
224,functional
225,non functional
226,functional
227,non functional
228,non functional
229,non functional
230,functional
231,functional
232,functional
233,non functional
234,functional
235,functional
236,functional needs repair
237,functional
238,functional
239,functional
240,functional
241,functional
242,functional
243,functional
244,functional
245,non functional
246,functional
247,non functional
248,functional
249,functional
250,functional
251,functional
252,functional
253,functional
254,functional
255,functional
256,functional
257,functional
258,functional
259,functional
260,functional
261,functional
262,functional
263,functional
264,functional
265,non functional
266,non functional
267,non functional
268,functional
269,functional
270,functional
271,non functional
272,functional
273,functional
274,non functional
275,functional
276,functional
277,functional
278,functional
279,functional
280,functional needs repair
281,functional
282,non functional
283,functional
284,functional
285,functional
286,functional
287,functional
288,non functional
289,functional
290,functional
291,non functional
