"","Id","TimeToEnd","DistanceToRadar","Composite","HybridScan","HydrometerType","Kdp","RR1","RR2","RR3","RadarQualityIndex","Reflectivity","ReflectivityQC","RhoHV","Velocity","Zdr","LogWaterVolume","MassWeightedMean","MassWeightedSD","Expected"
"1",1,0,"30.0",NA,NA,"8.0","0.0","0.0",NA,NA,"0.006246","13.0",NA,"0.865",NA,"7.9375","nan","nan","nan",0
"2",1,0,"30.0",NA,NA,"8.0","0.0","0.0",NA,NA,"0.0200476","17.5",NA,"0.841667",NA,"4.5","nan","nan","nan",0
"3",1,0,"30.0",NA,NA,"8.0","0.0","0.0",NA,NA,"0.0113924","14.0",NA,"0.765",NA,"4.1875","nan","nan","nan",0
"4",1,0,"30.0",NA,NA,"8.0","0.0","0.0",NA,NA,"0.217157","8.5",NA,"0.985",NA,"5.5625","nan","nan","nan",0
"5",1,0,"30.0",NA,NA,"8.0","0.0","0.0",NA,NA,"0.0285667","7.0",NA,"0.768333",NA,"3.375","nan","nan","nan",0
"6",1,0,"30.0",NA,NA,"8.0","0.0","0.0",NA,NA,"0.00374591","11.0",NA,"0.491667",NA,"7.0625","nan","nan","nan",0
"7",1,0,"30.0",NA,NA,"8.0","0.0","0.0",NA,NA,"0.0214067","9.0",NA,"0.775",NA,"5.3125","nan","nan","nan",0
"8",1,0,"30.0",NA,NA,"8.0","0.0","0.0",NA,NA,"0.147393","9.0",NA,"1.05167",NA,"6.125","nan","nan","nan",0
"9",2,0,"77.0",NA,NA,"8.0","0.0","0.0",NA,NA,NA,"15.0",NA,"0.635","-4.0","2.6875","nan","nan","nan",0
"10",2,0,"77.0",NA,NA,"8.0","0.0","0.0",NA,NA,NA,"18.5",NA,"0.851667","-3.0","3.0","nan","nan","nan",0
"11",2,0,"77.0",NA,NA,"8.0","0.0","0.0",NA,NA,NA,"10.5",NA,"0.891667","-2.0","2.375","nan","nan","nan",0
"12",2,0,"77.0",NA,NA,"8.0","0.0","0.0",NA,NA,NA,"3.0",NA,"0.638333","-0.5","6.25","nan","nan","nan",0
"13",2,0,"77.0",NA,NA,"8.0","0.0","0.0",NA,NA,NA,"0.5",NA,"0.791667","-4.0","3.125","nan","nan","nan",0
"14",2,0,"77.0",NA,NA,"8.0","0.0","0.0",NA,NA,NA,"-3.0",NA,"0.738333","3.0","6.0625","nan","nan","nan",0
"15",3,0,"75.0",NA,NA,"8.0","0.0","0.0",NA,NA,NA,"6.5",NA,"0.998333",NA,"-6.5","nan","nan","nan",0
"16",3,0,"75.0",NA,NA,"8.0","0.0","0.0",NA,NA,NA,"4.0",NA,"0.891667","-3.5","-4.6875","nan","nan","nan",0
"17",4,0,"21.0",NA,NA,"8.0","0.0","0.0",NA,NA,"0.0","11.0",NA,"0.688333","-7.0","-0.375","nan","nan","nan",0
"18",4,0,"21.0",NA,NA,"8.0","0.0","0.0",NA,NA,"0.0","14.0",NA,"0.518333","-12.0","5.0625","nan","nan","nan",0
"19",4,0,"21.0",NA,NA,"8.0","0.0","0.0",NA,NA,"0.0","12.0",NA,"0.708333","-11.5","1.1875","nan","nan","nan",0
"20",4,0,"21.0",NA,NA,"8.0","0.0","0.0",NA,NA,"0.0","11.0",NA,"0.805","-8.5","2.0","nan","nan","nan",0
"21",4,0,"21.0",NA,NA,"8.0","0.0","0.0",NA,NA,"0.0","13.0",NA,"0.708333","-8.0","2.0625","nan","nan","nan",0
"22",4,0,"21.0",NA,NA,"8.0","0.0","0.0",NA,NA,"0.0","15.5",NA,"0.555","-13.0","0.3125","nan","nan","nan",0
"23",5,0,"69.0","23.0","13.5","9.0","0.0","0.0",NA,NA,"1.0","14.0","14.0","1.01833","14.0","0.9375","-13.4793885769","1.86413642918","0.755068594278",0
"24",5,0,"69.0","24.0","15.5","9.0","0.0","0.0",NA,NA,"1.0","14.0","14.0","1.01167","13.5","-0.875","-12.1370512402","1.27740873124","0.502681241559",0
"25",5,0,"69.0","22.0","19.0","9.0","0.0","0.0",NA,NA,"1.0","17.0","17.0","0.991667","12.5","-0.75","-11.6001776071","1.35497004174","0.514253049727",0
"26",5,0,"83.0","15.5",NA,"8.0","0.0","0.0",NA,NA,"0.0","24.5",NA,"1.015","-13.5","0.0","nan","nan","nan",0
"27",5,0,"83.0","14.5",NA,"8.0","0.0","0.0",NA,NA,"0.0","23.5",NA,"1.015","-19.5","0.0625","nan","nan","nan",0
"28",5,0,"83.0","16.0",NA,"8.0","0.0","0.0",NA,NA,"0.0","21.5",NA,"1.005","-16.0","0.3125","nan","nan","nan",0
"29",5,0,"83.0","15.0",NA,"8.0","0.0","0.0",NA,NA,"0.0","25.0",NA,"1.02167","-15.0","0.5625","nan","nan","nan",0
"30",5,0,"83.0","18.5","19.5","9.0","0.0","0.0",NA,NA,"1.0","16.0","16.0","1.05167","-14.0","-1.0","-11.717625522","1.31864263234","0.503640081568",0
"31",5,0,"83.0","12.5","17.5","9.0","0.0","0.0",NA,NA,"0.0","21.0",NA,"1.00833","-13.0","0.375","nan","nan","nan",0
"32",5,0,"54.0","16.0","20.0","9.0","0.0","1.27899","0.42133","7.53835","0.996433","16.0","16.0","1.005",NA,"-0.625","-11.9017559586","1.3873612512","0.538950951963",0
"33",5,0,"54.0","19.5","18.0","9.0","0.0","0.0",NA,NA,"0.0","21.5",NA,"1.005",NA,"0.4375","nan","nan","nan",0
"34",5,0,"54.0","19.5",NA,"9.0","0.0","1.27511","0.5145","-4.73293","0.999376","19.5","19.5","1.01167",NA,"-1.0","-10.8859399552","1.28460229328","0.502715541581",0
"35",5,0,"54.0","23.0",NA,"9.0","0.0","1.32871","0.518951","-12.2587","0.998244","23.0","23.0","0.998333",NA,"0.1875","-10.957193195","1.67247023222","0.64493914203",0
"36",5,0,"54.0","18.5","23.5","9.0","0.0","0.0",NA,NA,"0.998472","13.5","13.5","0.918333",NA,"-0.375","-12.744358581","1.47225139835","0.588687429697",0
"37",5,0,"54.0","17.0",NA,"9.0","0.0","0.0",NA,NA,"0.995176","13.5","13.5","0.995",NA,"-1.3125","-11.9707646727","1.19188962698","0.464997444305",0
"38",5,0,"3.0","22.0","21.5","9.0","0.0","0.0",NA,NA,NA,"22.0","22.0",NA,NA,NA,"nan","nan","nan",0
"39",5,0,"3.0","15.0","18.0","9.0","0.0","0.0",NA,NA,NA,"15.0","15.0",NA,NA,NA,"nan","nan","nan",0
"40",5,0,"3.0","20.5","20.5","9.0","0.0","0.0",NA,NA,NA,"20.5","20.5",NA,NA,NA,"nan","nan","nan",0
"41",5,0,"3.0","23.0","20.5","9.0","0.0","0.0",NA,NA,NA,"23.0","23.0",NA,NA,NA,"nan","nan","nan",0
"42",5,0,"3.0","20.5","21.0","9.0","0.0","0.0",NA,NA,NA,"20.5","20.5",NA,NA,NA,"nan","nan","nan",0
"43",5,0,"3.0","21.0","15.0","9.0","0.0","0.0",NA,NA,NA,"21.0","21.0",NA,NA,NA,"nan","nan","nan",0
"44",5,0,"3.0","19.0","24.5","9.0","0.0","0.0",NA,NA,NA,"19.0","19.0",NA,NA,NA,"nan","nan","nan",0
"45",5,0,"3.0","13.5","27.0","8.0","0.0","0.0",NA,NA,NA,"13.5","13.5",NA,NA,NA,"nan","nan","nan",0
"46",5,0,"60.0","24.5","19.0","9.0","0.0","0.0",NA,NA,"0.0","24.5","24.5","1.015",NA,"0.5","-10.8384163682","1.7503946408","0.6816586142",0
"47",5,0,"60.0","22.0","23.5","9.0","0.0","0.0",NA,NA,"0.999481","22.0","22.0","0.981667",NA,"-0.125","-10.9617377236","1.55033884075","0.599391207869",0
